id_cliente,name,email,address,city,zip_code,registration_date
1,Theresina Iskow,tiskow0@macromedia.com,49 Forster Circle,Karanggintung,,2018-03-30
2,Loni Fenelon,lfenelon1@cloudflare.com,667 Drewry Trail,Qingyang,,2025-05-23
3,Ileane Newnham,inewnham2@miibeian.gov.cn,9 Crownhardt Crossing,Columbus,43210,2016-09-15
4,Sue Luchetti,sluchetti3@naver.com,217 Mallory Parkway,Skopje,1040,2009-07-06
5,Pip Geikie,pgeikie4@paginegialle.it,9652 Brown Road,Zalesnoye,,2019-04-13
6,Corette Swarbrigg,cswarbrigg5@economist.com,27250 Golf View Circle,Gurung,,2021-10-22
7,Keriann Tams,ktams6@clickbank.net,8287 Dryden Junction,Messina,0900,2008-09-08
8,Noll Quadling,nquadling7@com.com,54942 Bartillon Circle,Sredniy,141060,2000-11-26
9,Sophi Carlesi,scarlesi8@thetimes.co.uk,02762 Butterfield Avenue,Pacarkeling,,2007-07-18
10,Adan Bailey,abailey9@people.com.cn,71888 Anderson Alley,Remas,,2011-03-10
11,Carlynne Malicki,cmalickia@cmu.edu,59 Toban Road,Novoukrayinka,,2000-06-14
12,Dougie Bowkley,dbowkleyb@sogou.com,55 Fair Oaks Road,Mabua,3706,2009-09-16
13,Lonny Strover,lstroverc@prnewswire.com,696 Hooker Junction,Tây Đằng,,2005-05-22
14,Ralina Rubinshtein,rrubinshteind@merriam-webster.com,704 Melrose Trail,Bauru,17000-000,2016-04-17
15,Trevor Trim,ttrime@networkadvertising.org,393 Swallow Trail,Helsingborg,252 68,2015-09-02
16,Shaine True,struef@cloudflare.com,86789 Ronald Regan Road,Maggotty,,2006-11-16
17,Georgetta Friman,gfrimang@seesaa.net,73 Park Meadow Parkway,Paynjuwayn,,2009-06-27
18,Laure Bompass,lbompassh@examiner.com,29408 Browning Hill,Xinning,,2025-07-20
19,Bettye Strelitzki,bstrelitzkii@nydailynews.com,671 Rieder Road,Maoyang,,2024-10-29
20,Michal Bradneck,mbradneckj@va.gov,62986 Spenser Road,Zhengguo,,2012-02-07
